post_verified,post_type,building_type,squares,nums_bedroom,nums_wc,nums_floor,furniture,price,project_names,streets,wards,districts,type_squares
0,vip-normal,Căn hộ chung cư,75.0,2,2,1,Cơ bản,15.0,Dự án Masteri Thảo Điền,Đường Xa Lộ Hà Nội,Phường Thảo Điền,2,60-80
0,vip-gold,Căn hộ chung cư,90.0,2,2,1,Cơ bản,18.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,80-100
0,vip-gold,Căn hộ chung cư,120.0,3,2,1,Đầy đủ,26.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,100+
0,vip-gold,Căn hộ chung cư,187.7,4,3,1,Đầy đủ,50.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,100+
0,vip-normal,Căn hộ chung cư,75.0,2,2,1,Đầy đủ,15.0,Dự án Masteri Thảo Điền,Đường Xa Lộ Hà Nội,Phường Thảo Điền,2,60-80
0,vip-gold,Căn hộ chung cư,59.0,2,2,1,Đầy đủ,6.0,Dự án Vinhomes Grand Park,Đường Nguyễn Xiển,Phường Long Thạnh Mỹ,9,40-60
0,vip-gold,Căn hộ chung cư,82.0,2,2,1,Đầy đủ,19.0,Dự án HaDo Centrosa Garden,Đường 3/2,Phường 12,10,80-100
0,vip-gold,Căn hộ chung cư,75.0,2,2,1,Đầy đủ,14.0,Dự án Kingston Residence,Đường Nguyễn Văn Trỗi,Phường 8,Phú Nhuận,60-80
0,vip-gold,Căn hộ chung cư,87.0,2,2,1,Đầy đủ,36.0,Dự án Thảo Điền Green,Đường Nguyễn Văn Hưởng,Phường Thảo Điền,2,80-100
0,vip-gold,Căn hộ chung cư,47.0,3,2,1,Đầy đủ,3.5,Dự án Vinhomes Grand Park,Đường Nguyễn Xiển,Phường Long Thạnh Mỹ,9,40-60
0,vip-gold,Căn hộ chung cư,92.0,2,2,1,Đầy đủ,21.0,Dự án Sadora Sala,Đường Mai Chí Thọ,Phường Thủ Thiêm,2,80-100
0,vip-gold,Căn hộ chung cư,96.0,2,2,1,Cơ bản,15.0,Dự án Diamond Centery Celadon City,Đường N1,Phường Sơn Kỳ,Tân Phú,80-100
0,vip-gold,Căn hộ chung cư,65.0,2,2,1,Cơ bản,10.5,Dự án RichStar,Đường Hòa Bình,Phường Hiệp Tân,Tân Phú,60-80
0,vip-normal,Căn hộ chung cư,86.0,2,2,1,Đầy đủ,19.0,Dự án HaDo Centrosa Garden,Đường 3/2,Phường 12,10,80-100
0,vip-gold,Căn hộ chung cư,51.0,1,1,1,Đầy đủ,11.0,Dự án New City Thủ Thiêm,Đường Mai Chí Thọ,Phường Bình Khánh,2,40-60
0,vip-gold,Căn hộ chung cư,64.0,1,1,1,Đầy đủ,18.0,Dự án Empire City Thủ Thiêm,Đường Mai Chí Thọ,Phường Thủ Thiêm,2,60-80
0,vip-gold,Căn hộ chung cư,64.0,1,1,1,Đầy đủ,18.0,Dự án Empire City Thủ Thiêm,Đường Mai Chí Thọ,Phường Thủ Thiêm,2,60-80
0,vip-gold,Căn hộ chung cư,65.0,2,2,1,Cơ bản,13.0,Dự án Masteri Thảo Điền,Đường Xa Lộ Hà Nội,Phường Thảo Điền,2,60-80
0,vip-gold,Căn hộ chung cư,68.0,2,2,1,Đầy đủ,9.0,Dự án Lucky Dragon,Đường Đỗ Xuân Hợp,Phường Phước Long B,9,60-80
0,vip-gold,Căn hộ chung cư,90.0,2,2,1,Đầy đủ,24.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,80-100
0,vip-gold,Căn hộ chung cư,99.0,2,2,1,Đầy đủ,18.0,Dự án Midtown Phú Mỹ Hưng,Đường Nguyễn Thị Thập,Phường Tân Phú,7,80-100
0,vip-gold,Căn hộ chung cư,72.0,2,2,1,Đầy đủ,14.0,Dự án Masteri Thảo Điền,Đường Xa Lộ Hà Nội,Phường Thảo Điền,2,60-80
